name,address,city,state,postal_code,latitude,longitude,stars,categories
935,935 S Summit Ave,Charlotte,NC,28208,35.2270406,-80.8641291,3,Dance Clubs;Nightlife
$2.99 Cleaners,1710 Kenilworth Ave,Charlotte,NC,28203,35.2026242,-80.8444191,2,Local Services;Dry Cleaning & Laundry;Laundry Services
$39 Granite,"800 Clanton Rd, Ste W",Charlotte,NC,28217,35.1994448,-80.8831932,1,Interior Design;Home Services;Cabinetry;Contractors;Countertop Installation
@ Dawn,"2130 Ayrsley Town Blvd, Ste C",Charlotte,NC,28273,35.1388657,-80.9345288,4,Restaurants;American (New);Breakfast & Brunch;Cafes
1100 South Apartments,1100 South Blvd,Charlotte,NC,28203,35.2177876,-80.8505244,2.5,Apartments;Real Estate;Home Services
1225 South Church,1225 S Church St,Charlotte,NC,28203,35.219973,-80.856191,1,Apartments;Home Services;Real Estate
123 Appliance Repair,14105 Lissadell Cir,Charlotte,NC,28277,35.24219621,-80.83764909,4,Appliances & Repair;Local Services;Home Services;Plumbing
131 Main,1315 East Blvd,Charlotte,NC,28203,35.201494,-80.843674,4,Nightlife;American (New);Restaurants;Bars
131 Main,9886 Rea Rd,Charlotte,NC,28277,35.0340918,-80.8089294,4,American (New);Restaurants
1420 Magnolia Apartments,1420 Estates Ave,Charlotte,NC,28209,35.166399,-80.851534,3,Real Estate;Home Services;Apartments
15 North Roadside Kitchen,1513 Montford Dr,Charlotte,NC,28209,35.170862,-80.850106,3.5,American (New);Restaurants
18 Asian and Sushi Bar,9935 Rea Rd,Charlotte,NC,28277,35.033927,-80.8047131,3,Restaurants;Asian Fusion;Sushi Bars
1800 Flowers,"800 Clanton Rd, Ste Q",Charlotte,NC,28209,35.19944,-80.883201,1,Flowers & Gifts;Florists;Shopping
1-800-Flowers,5110 Park Rd,Charlotte,NC,28209,35.1608954,-80.8492546,1.5,Florists;Flowers & Gifts;Shopping
1-800-GOT-JUNK? Charlotte,3202 Motorsports Ln,Charlotte,NC,28269,35.2799002,-80.8360644,4,Local Services;Junk Removal & Hauling
1-800-PACK-RAT,"12810 Virkler Dr, Ste 160",Charlotte,NC,28273,35.1228856,-80.9788992,3,Self Storage;Local Services;Home Services;Movers
1890 Blow-Dry-Bar,"14825 Ballantyne Village Way, Ste 110",Charlotte,NC,28277,35.0542123,-80.85227,3.5,Hair Extensions;Beauty & Spas;Hair Salons;Blow Dry/Out Services
1897 Market,5501 Josh Birmingham Pkwy,Charlotte,NC,28208,35.2214228,-80.9437985,3.5,Bars;Nightlife;Sandwiches;Beer;Wine & Spirits;Pizza;Restaurants;Food;Convenience Stores
1900 Mexican Grill,5110-1E Park Rd,Charlotte,NC,28209,35.1608893,-80.8492598,3.5,Mexican;Restaurants
1900 Mexican Grill,1523 Elizabeth Ave,Charlotte,NC,28204,35.214165,-80.826742,3,Mexican;Restaurants
1st Americard,"6100 Fairview Rd, Ste 300",Charlotte,NC,28210,35.150419,-80.8375148,2.5,Local Services
1st Ward Beverage,"820 E 7th St, Ste A",Charlotte,NC,28202,35.22293964,-80.83235107,4.5,Bars;Food;Convenience Stores;Beer Bar;Nightlife;Beer;Wine & Spirits
2 The Max Salon,"10223 University City Blvd, Ste E",Charlotte,NC,28213,35.3123766,-80.7135491,4,Beauty & Spas;Hair Salons
20 20 Research,2102 Cambridge Beltway,Charlotte,NC,28273,35.136696,-80.935046,3.5,Professional Services;Marketing
2001 Cleaners Inc,1900 E 7th St,Charlotte,NC,28204,35.213594,-80.819962,4,Dry Cleaning & Laundry;Laundry Services;Local Services
204 North Kitchen & Cocktails,204 N Tryon,Charlotte,NC,28202,35.22789512,-80.84152325,3.5,Restaurants;Cocktail Bars;Breakfast & Brunch;American (Traditional);American (New);Bars;Nightlife
24 Hour Air,,Charlotte,NC,28208,35.212973,-80.9097127,2.5,Heating & Air Conditioning/HVAC;Home Services
24 Hours of Booty,Queens Rd & Radcliffe Ave,Charlotte,NC,28207,35.1892534,-80.8303712,5,Local Services;Active Life;Community Service/Non-Profit
2nd & Charles,5331 S Blvd,Charlotte,NC,28217,35.1636913,-80.87500218,3,Books;Mags;Music & Video;Electronics;Shopping
2ULaundry,,Charlotte,NC,28205,35.2281126,-80.84266451,5,Dry Cleaning;Local Services;Dry Cleaning & Laundry;Laundry Services;Couriers & Delivery Services
3 Trade Food & Wine,333 W Trade St,Charlotte,NC,28202,35.228893,-80.845776,2.5,Food;Restaurants;American (New);Beer;Wine & Spirits
300 East,300 East Blvd,Charlotte,NC,28203,35.2105533,-80.8566726,4,Bars;Breakfast & Brunch;Wine Bars;Nightlife;American (New);Sandwiches;Seafood;Pizza;Restaurants
32 Flavors Boutique,"224 East Blvd, Ste B",Charlotte,NC,28203,35.21096444,-80.85707231,5,Gift Shops;Arts & Crafts;Jewelry;Shopping;Flowers & Gifts
33 Fingers Salon,8841 Arbor Creek Dr,Charlotte,NC,28078,35.38451475,-80.7835865,4,Hair Salons;Beauty & Spas
3400 Selwyn Apartments,100 Matador Ln,Charlotte,NC,28209,35.1671509,-80.843499,3,Real Estate;Apartments;Home Services;Local Services
360 Bistro,520 University Center Blvd,Charlotte,NC,28262,35.309098,-80.756007,3.5,American (New);Restaurants;Pizza
3rd Phaze Body Oils Inc.,3300 N Graham St,Charlotte,NC,28206,35.261794,-80.818617,5,Beauty & Spas;Cosmetics & Beauty Supply;Shopping
3rd Street Lynx Station,305 E Third St,Charlotte,NC,28202,35.22357069,-80.84326029,3.5,Public Transportation;Transportation;Hotels & Travel
4 Eyes Optometry,"1600 E Woodlawn Rd, Ste 362",Charlotte,NC,28209,35.1716684,-80.8492639,5,Eyewear & Opticians;Health & Medical;Optometrists;Shopping
4 Paws Holistic,2907 Selwyn Ave,Charlotte,NC,28209,35.173533,-80.840019,4,Pets;Pet Services;Holistic Animal Care;Pet Stores
4 Seasons Cat Hospital,"6926 Shannon Willow Rd, Ste 200",Charlotte,NC,28226,35.0878838,-80.8353089,4,Pets;Veterinarians
4 Wheel Parts,4004 South Blvd,Charlotte,NC,28209,35.1881028,-80.8761667,5,Auto Repair;Automotive;Auto Parts & Supplies;Tires;Auto Customization
49 North Apartments,10035 Dabney Dr,Charlotte,NC,28262,35.312058,-80.717881,2,Home Services;Apartments;Real Estate
5 Points Realty,415 Beatties Ford Rd,Charlotte,NC,28216,35.2462052,-80.8571337,4,Real Estate;Real Estate Services;Home Services
5 Star Presidential Cleaning,"801 E Morehead St, Ste 111",Charlotte,NC,28202,35.215061,-80.84521,1,Contractors;Home Decor;Office Cleaning;Home & Garden;Home Services;Professional Services;Home Cleaning;Local Services;Carpet Cleaning;Shopping
50 Floor,3614 Green Park Cir,Charlotte,NC,28217,35.171389,-80.929048,4,Flooring;Carpeting;Home Services;Tiling
500 Degrees New York Style Pizzeria,6037 South Blvd,Charlotte,NC,28217,35.1533683,-80.8752317,4,Restaurants;Pizza
505e,505 E 6th St,Charlotte,NC,28202,35.225217,-80.8362889,3.5,Sushi Bars;Restaurants;American (New)
510 Expert Tattoo,510 E 35th St,Charlotte,NC,28205,35.246556,-80.805587,4.5,Tattoo;Beauty & Spas
5Church,"127 N Tryon St, Ste 8",Charlotte,NC,28202,35.2283622,-80.8427789,3.5,Restaurants;American (New);Food;Desserts;Cocktail Bars;Bars;Nightlife;Breakfast & Brunch
5th Element,500 W 5th St,Charlotte,NC,28202,35.231762,-80.845732,2,Nightlife;Dance Clubs
7-Eleven,1824 Freedom Dr,Charlotte,NC,28208,35.23179879,-80.87111101,1.5,Gas Stations;Automotive;Convenience Stores;Food
7-Eleven,8010 S Tryon St,Charlotte,NC,28273,35.14509518,-80.9287557,2.5,Convenience Stores;Automotive;Gas Stations;Food
7-Eleven,5343 Monroe Rd,Charlotte,NC,28205,35.1902523,-80.77304274,2.5,Convenience Stores;Food
7-Eleven,4401 Park Rd,Charlotte,NC,28209,35.17146454,-80.85055992,3,Gas Stations;Food;Convenience Stores;Coffee & Tea;Automotive
7-Eleven,2601 South Blvd,Charlotte,NC,28209,35.20199408,-80.86504385,3,Gas Stations;Food;Automotive;Convenience Stores
7-Eleven,718 A W Trade St,Charlotte,NC,28202,35.23310552,-80.84966272,2.5,Food;Convenience Stores
7-Eleven,2825 Little Rock Rd,Charlotte,NC,28214,35.23758167,-80.93934506,2,Food;Automotive;Convenience Stores;Gas Stations
7-Eleven,9025 Mallard Creek Rd,Charlotte,NC,28262,35.32722742,-80.77369444,2.5,Gas Stations;Food;Automotive;Convenience Stores
7-Eleven,801 N Wendover Rd,Charlotte,NC,28211,35.19076632,-80.79829305,2,Gas Stations;Food;Convenience Stores;Automotive
7th District,321 N Caldwell St,Charlotte,NC,28202,35.2260438,-80.8361809,3,American (New);Hookah Bars;Lounges;Tapas/Small Plates;Restaurants;Bars;Beer;Wine & Spirits;Seafood;Food;Nightlife
7th Street Lynx Station,260 East 7th St,Charlotte,NC,28202,35.227316,-80.838126,4,Hotels & Travel;Transportation;Public Transportation
7th Street Public Market,224 E 7th St,Charlotte,NC,28202,35.22766517,-80.83810528,4.5,Public Markets;Restaurants;Bars;Farmers Market;Shopping;Local Flavor;Wine Bars;Nightlife;Food;Grocery;Beer Bar;Specialty Food
7th Street Station Parking Garage,224 E 7th St,Charlotte,NC,28263,35.2277591,-80.8381993,2.5,Parking;Automotive
8 - The Salon,"4310 Sharon Rd, Ste T01A, The Village at SouthPark",Charlotte,NC,28211,35.152091,-80.831376,3.5,Beauty & Spas;Hair Salons
8.2.0 Bar/Restaurant,820 Hamilton St,Charlotte,NC,28206,35.2402992,-80.8453145,4,Event Planning & Services;Venues & Event Spaces;Restaurants;Pizza;Cocktail Bars;Karaoke;Nightlife;Bars
88 China Bistro,1620 E 4th St,Charlotte,NC,28204,35.2124561,-80.8277678,3.5,Chinese;Restaurants
90 Degrees Salon,5107 Piper Station Dr,Charlotte,NC,28277,35.0627169,-80.8126482,3,Beauty & Spas;Hair Salons
9000 Nails Thousand Nails,9640 S Tryon St,Charlotte,NC,28273,35.128299,-80.943005,3.5,Beauty & Spas;Nail Salons
901 Place Apartments,901 Forty-Niner Ave,Charlotte,NC,28262,35.324803,-80.711488,1.5,Real Estate;Apartments;Home Services
96.1 The BEAT,801 Woodridge Center Dr,Charlotte,NC,28263,35.1840629,-80.8946037,1.5,Mass Media;Radio Stations
9Round,2424 N Davidson St,Charlotte,NC,28205,35.2399936,-80.8111274,5,Boxing;Active Life;Fitness & Instruction;Gyms
9ROUND,5110 Park Rd,Charlotte,NC,28209,35.1608893,-80.8492598,5,Health & Medical;Nutritionists;Active Life;Fitness & Instruction;Gyms;Boxing
9ROUND,1412 East Blvd,Charlotte,NC,28203,35.200675,-80.843582,4.5,Martial Arts;Active Life;Fitness & Instruction;Trainers;Gyms;Boxing;Circuit Training Gyms;Kickboxing;Yoga
9Round -  South Charlotte,"7510 Pineville Matthews Rd, Ste 6A",Charlotte,NC,28226,35.0880711,-80.8455351,5,Trainers;Kickboxing;Gyms;Active Life;Fitness & Instruction;Martial Arts;Boxing
9Round Charlotte-Cotswold,300 S Sharon Amity Rd,Charlotte,NC,28211,35.176222,-80.802375,4,Gyms;Active Life;Fitness & Instruction;Kickboxing;Martial Arts;Boxing
9Round Kickboxing,"2115 E Arbors Dr, Ste 160",Charlotte,NC,28262,35.337406,-80.7570662,4.5,Active Life;Trainers;Kickboxing;Fitness & Instruction;Martial Arts;Gyms;Boxing
A & A International Food,"1636 Sardis Rd N, Ste 110",Charlotte,NC,28270,35.1382399,-80.7368122,5,Food;Grocery
A & R Towing,,Charlotte,NC,28216,35.3202223,-80.8875861,1.5,Towing;Automotive
A 1 Driving School,"9635 Southern Pines Blvd, Ste 111",Charlotte,NC,28273,35.1324322,-80.9135945,5,Education;Specialty Schools;Driving Schools
A Bao Time,3000 S Tryon St,Charlotte,NC,28262,35.201444,-80.873595,4.5,Street Vendors;Food Trucks;Ethnic Food;Food;Specialty Food
A Bare Affair Strippers,"3020 I Prosperity Church Rd, Ste 412",Charlotte,NC,28269,35.3432482,-80.7690779,5,Nightlife;Adult Entertainment
A Beautiful You Hair Studio,"6832 Morrison Blvd, Ste 15, Salons by JC",Charlotte,NC,28211,35.15014,-80.82488,5,Beauty & Spas;Hair Salons
A Cafeteria By Morrison Farms,6555 Morrison Blvd,Charlotte,NC,28211,35.1540742,-80.828877,3.5,Restaurants;American (Traditional);Cafes
A Chimney Bug,Monroe Rd,Charlotte,NC,28212,35.1692467,-80.756149,3.5,Home Services;Contractors;Chimney Sweeps
A Diamond in the Rough Cleaning Service,,Charlotte,NC,28210,35.231402,-80.845841,3.5,Window Washing;Home Cleaning;Contractors;Home Services
A Dog's Best Friend,"9010 Monroe Rd, Ste G",Charlotte,NC,28270,35.147409,-80.745722,3.5,Pets;Education;Vocational & Technical School;Pet Groomers;Specialty Schools;Adult Education;Pet Services
