id,locations,lat,lon,category
1,Carowinds,35.1042226,-80.9428109,Attraction
2,U.S. National Whitewater Center,35.2805738,-80.9869941,Attraction
3,NASCAR Hall of Fame,35.2213247,-80.8434079,Attraction
4,Discovery Place Science,35.2292981,-80.8408062,Attraction
5,Billy Graham Library,35.1903725,-80.9092806,Attraction
6,Daniel Stowe Botanical Garden,35.1676604,-81.056866,Attraction
7,Freedom Park,35.1963005,-80.8386454,Attraction
8,Mint Museum Randolph,35.1973424,-80.8146806,Attraction
9,Bechtler Museum of Modern Art,35.2245654,-80.8474228,Attraction
10,The Fury 325,35.1042226,-80.9428109,Attraction
11,SEA LIFE Centre Charlotte,35.3700689,-80.7239298,Attraction
12,Discovery Place Nature,35.1881806,-80.8437038,Attraction
13,McDowell Nature Preserve,35.096093,-81.023133,Attraction
14,Levine Museum of the New South,35.2281189,-80.8387303,Attraction
15,Carolina Raptor Center,35.3503447,-80.9184192,Attraction
16,ImaginOn: The Joe & Joan Martin Center,35.2270185,-80.8376924,Attraction
17,Latta Place,35.354958,-80.930662,Attraction
18,Mint Museum UPTOWN,35.224305,-80.848151,Attraction
19,Harvey B. Gantt Center for African-American Arts + Culture,35.2231342,-80.8479529,Attraction
20,Camp Snoopy,35.1024691,-80.941329,Attraction
21,Ray's Splash Planet,35.2381165,-80.8513028,Attraction
22,Latta Plantation Nature Preserve,35.3558931,-80.909864,Attraction
23,Romare Bearden Park,35.226967,-80.847322,Attraction
24,UNC Charlotte Botanical Gardens,35.3078097,-80.7296921,Attraction
25,Reedy Creek Nature Center & Nature Preserve,35.2767038,-80.7166355,Attraction
26,The Charlotte Museum of History,35.233535,-80.766542,Attraction
27,Little Sugar Creek Greenway,35.211682,-80.8355447,Attraction
28,Discovery Place Kids-Huntersville,35.4104988,-80.8436173,Attraction
29,Intimidator,35.103266,-80.9437117,Attraction
30,Frank Liske Park,35.3594474,-80.6245882,Attraction
31,Copperhead Island,35.106777,-81.027151,Attraction
32,Thomas McAlister Winget Park,35.135626,-81.002422,Attraction
33,Stallings Municipal Park,35.0874632,-80.6929531,Attraction
34,"Four Mile Creek Greenway, Matthews",35.1059242,-80.712105,Attraction
35,Big Rock Nature Preserve,35.061696,-80.826982,Attraction
36,Clark's Creek Nature Preserve,35.354041,-80.807889,Attraction
37,Fourth Ward Park,35.23101,-80.842791,Attraction
38,Codescape,35.2247073,-80.820737,Attraction
39,NASCAR Racing Experience,35.3440607,-80.6761657,Attraction
40,Sherman Branch Mountain Biking Park,35.2364061,-80.6329301,Attraction
41,Bradford Park,35.4457214,-80.7910965,Attraction
42,St. Peter Catholic Church,35.2239303,-80.8473278,Attraction
43,Portal Charlotte,35.2270006,-80.8438984,Attraction
44,Canaan Zipline Canopy Tours,35.0130841,-81.0002293,Attraction
45,Trade and Tryon Streets,35.2277533,-80.8428821,Attraction
46,Festival Of India,35.2275545,-80.8417537,Attraction
47,Latta Park,35.2096309,-80.8507417,Attraction
48,Seven Oaks Preserve Trail,35.1566388,-81.0515488,Attraction
49,Huntersville Athletic Park,35.390351,-80.84491,Attraction
50,Squirrel Lake Park,35.09969,-80.7230662,Attraction
51,"K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities",35.4034553,-80.7157244,Attraction
52,McAlpine Creek Greenway Parking and Rest Area,35.0766753,-80.8408832,Attraction
53,Independence Park,35.214054,-80.8233757,Attraction
54,Discovery Place Science Parking Deck,35.2303853,-80.8416712,Attraction
55,Four Mile Creek Greenway,35.0774379,-80.8177139,Attraction
56,Exit Strategy,35.190118,-80.8878455,Attraction
57,Clark's Creek Greenway,35.33449,-80.773601,Attraction
58,Kate's Skating Rinks,35.077345,-80.6544651,Attraction
59,Hearst Tower,35.2279985,-80.8413468,Attraction
60,RibbonWalk Nature Preserve,35.29423,-80.8199725,Attraction
61,Camp North End,35.2476176,-80.8323942,Attraction
62,LaSalle Street,35.26298,-80.8547,Gold
63,Russell Av,35.25703,-80.85558,Gold
64,Booker Avenue/Oaklawn,35.2538,-80.85597,Gold
65,French Street,35.24685,-80.85679,Gold
66,Johnson C. Smith University,35.24173,-80.85869,Gold
67,Bruns Avenue,35.24026,-80.85843,Gold
68,Wesley Heights Way,35.2371,-80.85866,Gold
