locations,address,lat,lon
Carowinds,"300 Carowinds Blvd, Charlotte, NC 28273",,
U.S. National Whitewater Center,"5000 Whitewater Center Pkwy, Charlotte, NC 28214",,
NASCAR Hall of Fame,"400 E M.L.K. Jr Blvd, Charlotte, NC 28202",,
Discovery Place Science,"301 N Tryon St, Charlotte, NC 28202",,
Billy Graham Library,"4330 Westmont Dr, Charlotte, NC 28217",,
Daniel Stowe Botanical Garden,"6500 S New Hope Rd, Belmont, NC 28012",,
Freedom Park,"1908 East Blvd, Charlotte, NC 28203",,
Mint Museum Randolph,"2730 Randolph Rd, Charlotte, NC 28207",,
Bechtler Museum of Modern Art,"420 S Tryon St, Charlotte, NC 28202",,
The Fury 325,"300 Carowinds Blvd, Charlotte, SC 28273",,
SEA LIFE Centre Charlotte,"8111 Concord Mills Boulevard, Concord, NC 28027",,
Discovery Place Nature,"1658 Sterling Rd, Charlotte, NC 28209",,
McDowell Nature Preserve,"15222 York Rd, Charlotte, NC 28278",,
Levine Museum of the New South,"200 E 7th St, Charlotte, NC 28202",,
Carolina Raptor Center,"6000 Sample Rd, Huntersville, NC 28078",,
ImaginOn: The Joe & Joan Martin Center,"300 E 7th St, Charlotte, NC 28202",,
Latta Place,"5225 Sample Rd, Huntersville, NC 28078",,
Mint Museum UPTOWN,"500 S Tryon St, Charlotte, NC 28202",,
Harvey B. Gantt Center for African-American Arts + Culture,"551 S Tryon St, Charlotte, NC 28202",,
Camp Snoopy,"14523 Carowinds Blvd, Fort Mill, SC 28273",,
Ray's Splash Planet,"215 N Sycamore St, Charlotte, NC 28202",,
Latta Plantation Nature Preserve,"6211 Sample Rd, Huntersville, NC 28078",,
Romare Bearden Park,"300 S Church St, Charlotte, NC 28202",,
UNC Charlotte Botanical Gardens,"9090 Craver Rd, Charlotte, NC 28262",,
Reedy Creek Nature Center & Nature Preserve,"2900 Rocky River Rd, Charlotte, NC 28215",,
The Charlotte Museum of History,"3500 Shamrock Dr, Charlotte, NC 28215",,
Little Sugar Creek Greenway,"1133 Metropolitan Ave, Charlotte, NC 28204",,
Discovery Place Kids-Huntersville,"105 Gilead Rd, Huntersville, NC 28078",,
Intimidator,"14523 Carowinds Blvd, Charlotte, NC 28273",,
Frank Liske Park,"4001 Stough Rd, Concord, NC 28027",,
Copperhead Island,"15265 Soldier Rd, Charlotte, NC 28278",,
Thomas McAlister Winget Park,"12025 Winget Rd, Charlotte, NC 28278",,
Stallings Municipal Park,"340 Stallings Rd, Stallings, NC 28104",,
"Four Mile Creek Greenway, Matthews","1102 E John St, Matthews, NC 28105",,
Big Rock Nature Preserve,"6500 Elmstone Dr, Charlotte, NC 28277",,
Clark's Creek Nature Preserve,"5542 Hucks Rd, Charlotte, NC 28269",,
Fourth Ward Park,"301 N Poplar St, Charlotte, NC 28202",,
Codescape,"933 Louise Ave #201, Charlotte, NC 28204",,
NASCAR Racing Experience,"6025 Victory Ln, Concord, NC 28027",,
Sherman Branch Mountain Biking Park,"12435 Rocky River Church Rd, Charlotte, NC 28215",,
Bradford Park,"17005 Davidson-Concord Rd, Huntersville, NC 28078",,
St. Peter Catholic Church,"507 S Tryon St, Charlotte, NC 28210",,
Portal Charlotte,"114 S Tryon St, Charlotte, NC 28202",,
Canaan Zipline Canopy Tours,"3111 Sand Island Rd, Rock Hill, SC 29732",,
Trade and Tryon Streets,"100 N Tryon St, Charlotte, NC 28202",,
Festival Of India,"130 N Tryon St, Charlotte, NC 28202",,
Latta Park,"601 E Park Ave, Charlotte, NC 28203",,
Seven Oaks Preserve Trail,"6900 S New Hope Rd, Belmont, NC 28012",,
Huntersville Athletic Park,"11720 Verhoeff Dr, Huntersville, NC 28078",,
Squirrel Lake Park,"1631 Pleasant Plains Rd, Matthews, NC 28105",,
"K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities","800 Derita Rd #K, Concord, NC 28027",,
McAlpine Creek Greenway Parking and Rest Area,"11817 Johnston Rd, Charlotte, NC 28226",,
Independence Park,"300 Hawthorne Ln, Charlotte, NC 28204",,
Discovery Place Science Parking Deck,"220 W 6th St, Charlotte, NC 28202",,
Four Mile Creek Greenway,"5803 Bevington Pl, Charlotte, NC 28277",,
Exit Strategy,"4215 Stuart Andrew Blvd B, Charlotte, NC 28217",,
Clark's Creek Greenway,"9729 Mallard Creek Rd, Charlotte, NC 28267",,
Kate's Skating Rinks,"14500 E Independence Blvd, Indian Trail, NC 28079",,
Hearst Tower,"214 N Tryon St, Charlotte, NC 28202",,
RibbonWalk Nature Preserve,"4601 Nevin Rd, Charlotte, NC 28269",,
Camp North End,"1824 Statesville Ave, Charlotte, NC 28206",,
